TableExport (1)
Vancouver — Historical Rental Market Statistics Summary  ,,,,,,,,,,,,
1990 to 2022 Apartment 1 Bedroom October,,,,,,,,,,,,
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
1990 October,0.7,a ,**,,566,a ,550,a ,**,,"66,804",
1991 October,2.1,a ,**,,585,a ,575,a ,4.4,b ,"69,097",
1992 October,1.7,a ,**,,594,a ,585,a ,1.9,b ,"68,389",
1993 October,1.1,a ,**,,611,a ,600,a ,2.6,a ,"67,703",
1994 October,0.8,a ,**,,623,a ,610,a ,3.1,d ,"66,767",
1995 October,1.2,a ,**,,640,a ,625,a ,2.5,a ,"66,206",
1996 October,1.1,a ,**,,661,a ,650,a ,2.8,a ,"66,354",
1997 October,1.6,a ,**,,672,a ,650,a ,1.5,b ,"66,241",
1998 October,2.7,a ,**,,675,a ,650,a ,0.7,a ,"65,848",
1999 October,2.8,a ,**,,683,a ,670,a ,0.9,a ,"66,430",
2000 October,1.3,a ,**,,695,a ,675,a ,2.3,a ,"66,205",
2001 October,1.0,a ,**,,726,a ,700,a ,4.3,b ,"66,173",
2002 October,1.5,a ,**,,743,a ,720,a ,2.7,a ,"66,006",
2003 October,2.1,a ,**,,759,a ,735,a ,1.8,b ,"66,892",
2004 October,1.2,a ,**,,774,a ,750,a ,1.7,b ,"66,428",
2005 October,1.2,a ,2.5,a ,788,a ,764,a ,1.9,a ,"66,686",
2006 October,0.7,a ,1.2,a ,816,a ,780,a ,3.9,a ,"65,584",
2007 October,0.7,a ,1.3,a ,846,a ,800,a ,4.4,a ,"65,279",
2008 October,0.5,a ,1.0,a ,880,a ,850,a ,4.2,a ,"64,981",
2009 October,2.1,a ,2.8,a ,919,a ,875,a ,2.9,a ,"65,573",
2010 October,1.9,a ,2.7,a ,940,a ,900,a ,2.6,a ,"65,637",
2011 October,1.4,a ,2.2,a ,964,a ,905,a ,2.3,a ,"65,757",
2012 October,1.7,a ,2.6,a ,982,a ,935,a ,2.3,a ,"65,898",
2013 October,1.6,a ,2.4,a ,"1,005",a ,950,a ,2.4,a ,"66,169",
2014 October,0.9,a ,1.5,a ,"1,038",a ,995,a ,2.6,a ,"66,368",
2015 October,0.8,a ,1.2,a ,"1,079",a ,"1,010",a ,3.8,a ,"66,901",
2016 October,0.7,a ,1.2,a ,"1,159",a ,"1,086",a ,6.8,a ,"67,302",
2017 October,0.9,a ,1.4,a ,"1,223",a ,"1,165",a ,6.1,a ,"67,607",
2018 October,1.1,a ,**,,"1,307",a ,"1,250",a ,6.4,a ,"67,989",
2019 October,1.0,a ,**,,"1,382",a ,"1,350",a ,5.0,a ,"68,599",
2020 October,2.5,a ,**,,"1,415",a ,"1,390",a ,2.0,a ,"69,779",
2021 October,1.1,a ,**,,"1,434",a ,"1,400",a ,2.0,a ,"70,245",
2022 October,0.8,a ,**,,"1,543",a ,"1,500",a ,6.4,a ,"71,432",
,,,,,,,,,,,,
Notes,,,,,,,,,,,,
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)",,,,,,,,,,,,
** Data suppressed to protect confidentiality or data not statistically reliable,,,,,,,,,,,,
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).,,,,,,,,,,,,
 - No units exist in the universe for this category,,,,,,,,,,,,
n/a: Not applicable,,,,,,,,,,,,
Source,CMHC Rental Market Survey,,,,,,,,,,,
